date,Meteo Agrate
2021-06-01,2.4583333333333335
2021-06-02,1.2202380952380951
2021-06-03,3.5754504504504503
2021-06-04,2.8773809523809524
2021-06-05,5.621798975672215
2021-06-06,4.0260989010989015
2021-06-07,4.258995445047075
2021-06-08,4.542643408223823
2021-06-09,3.866641858553196
2021-06-10,4.034430141875865
2021-06-11,3.7426666002017503
2021-06-12,3.303505598327359
2021-06-13,2.5108819631100414
2021-06-14,3.144450361111139
2021-06-15,3.036900532897371
2021-06-16,2.5435642225956525
2021-06-17,2.7739885879802895
2021-06-18,3.2707922761625863
2021-06-19,2.9935887790692775
2021-06-20,2.524955448689676
2021-06-21,2.038392674591895
2021-06-22,2.64988529057889
2021-06-23,2.435043207037265
2021-06-24,2.6702684282131375
2021-06-25,3.1697438647988365
2021-06-26,2.9292554984723282
2021-06-27,3.040738815377214
2021-06-28,2.4157723643060334
2021-06-29,2.9319521805235036
2021-06-30,3.7303567161434
2021-07-01,3.9853016835614197
2021-07-02,3.259736711242911
2021-07-03,2.444741132220035
2021-07-04,1.8335213125011605
2021-07-05,1.3751215581428011
2021-07-06,1.161334373643261
2021-07-07,1.3189212034274065
2021-07-08,1.0933535364541946
2021-07-09,1.1012652584271871
2021-07-10,1.3780350605128084
2021-07-11,1.5856111943482405
2021-07-12,1.3662904884347504
2021-07-13,3.0247249024361693
2021-07-14,2.2685412706762196
2021-07-15,1.7014045995497915
2021-07-16,1.3489694855208718
2021-07-17,1.3450604422265184
2021-07-18,1.1025450875068712
2021-07-19,1.4623257539655974
2021-07-20,1.096744108437395
2021-07-21,0.822557964869883
2021-07-22,0.6169184081447117
2021-07-23,0.5981054682804702
2021-07-24,0.6881624506807905
2021-07-25,2.3390387265398163
2021-07-26,1.8167789922646909
2021-07-27,1.3625842098637473
2021-07-28,1.0219381380845027
2021-07-29,0.7664535926996418
2021-07-30,0.8248401963867713
2021-07-31,0.7540468122634614
2021-08-01,1.8155351282396393
2021-08-02,4.174151377913149
2021-08-03,3.130613522904845
2021-08-04,2.3479601362554994
2021-08-05,1.7609700988598616
2021-08-06,1.3207275722707794
2021-08-07,1.178045678747536
2021-08-08,1.6335342601513503
2021-08-09,3.193900697915815
2021-08-10,2.675425522738504
2021-08-11,2.0586524747641426
2021-08-12,2.898156023375829
2021-08-13,2.173617017120158
2021-08-14,1.7343794293195902
2021-08-15,2.342451238850721
2021-08-16,3.236005096018917
2021-08-17,3.257003822017963
2021-08-18,2.859419533126526
2021-08-19,3.8320646499432627
2021-08-20,2.957381820724435
2021-08-21,2.2180363655012663
2021-08-22,1.6635272741022908
2021-08-23,1.2476454555634102
2021-08-24,1.9357340916890715
2021-08-25,1.4830505687586555
2021-08-26,1.1227045932307937
2021-08-27,0.8420284449202534
2021-08-28,0.6315213336885915
2021-08-29,0.5048910002657225
2021-08-30,0.3786682501987528
2021-08-31,1.4440011876524774
2021-09-01,1.6975842240733008
2021-09-02,1.752354834721741
2021-09-03,1.4705161260409247
2021-09-04,1.102887094530321
2021-09-05,0.8271653208975311
2021-09-06,0.6203739906730305
2021-09-07,0.46528049300470653
2021-09-08,0.3489603697534926
2021-09-09,0.26172027731509845
2021-09-10,0.19629020798631203
2021-09-11,0.1472176559897274
2021-09-12,0.1104132419922918
2021-09-13,0.08280993149421674
2021-09-14,0.06210744862066137
2021-09-15,0.046580586465495365
2021-09-16,0.03493543984912115
2021-09-17,0.2657849132201798
2021-09-18,0.5639220182484735
2021-09-19,1.7771081803530384
2021-09-20,2.0099144685981143
2021-09-21,2.3674358514485885
2021-09-22,3.9109935552531168
2021-09-23,3.8290784997731704
2021-09-24,4.361392208163213
2021-09-25,3.9377108227890756
2021-09-26,3.4116164504251394
2021-09-27,4.131629004485522
2021-09-28,3.0987217533641407
2021-09-29,2.3240413150231047
2021-09-30,1.743030986267328
2021-10-01,1.307273239700496
2021-10-02,2.3137882631087057
2021-10-03,4.17284119733153
2021-10-04,3.473380897998647
2021-10-05,2.605035673498985
2021-10-06,1.9537767551242387
2021-10-07,1.4653325663431789
2021-10-08,1.5573327580907175
2021-10-09,2.5950829019013715
2021-10-10,3.008812176426029
2021-10-11,2.6003591323195216
2021-10-12,2.360269349239641
2021-10-13,3.4160353452630643
2021-10-14,4.291193175613965
2021-10-15,5.0517282150438065
2021-10-16,4.736712827949521
2021-10-17,3.708784620962141
2021-10-18,2.885755132388272
2021-10-19,3.0743163492912045
2021-10-20,3.857820595301737
2021-10-21,3.9141987798096363
2021-10-22,3.404399084857227
2021-10-23,3.511632646976254
2021-10-24,3.123307818565524
2021-10-25,3.72789753059081
2021-10-26,2.8959231479431073
2021-10-27,2.6406923609573303
2021-10-28,2.5742692707179975
2021-10-29,3.3057019530384983
2021-10-30,3.4584431314455406
2021-10-31,3.427165681917489
2021-11-01,2.9453742614381166
2021-11-02,2.2090306960785875
2021-11-03,1.6567730220589405
2021-11-04,1.2425797665442053
2021-11-05,0.9319348249081539
2021-11-06,0.6989511186811154
2021-11-07,0.5242133390108364
2021-11-08,0.3931600042581273
2021-11-09,0.5344533365269288
2021-11-10,1.8175066690618638
2021-11-11,1.6652133351297311
2021-11-12,2.3634933346806317
2021-11-13,2.053870001010474
2021-11-14,1.8529025007578552
2021-11-15,2.8480102089017247
2021-11-16,2.1360076566762936
2021-11-17,1.60200574250722
2021-11-18,1.201504306880415
2021-11-19,1.0157115634936444
2021-11-20,0.7617836726202333
2021-11-21,2.144254421131842
2021-11-22,3.4311074825155483
2021-11-23,2.593330611886661
2021-11-24,3.028331292248329
2021-11-25,3.958748469186247
2021-11-26,4.281561351889685
2021-11-27,3.523671013917264
2021-11-28,3.2156699271046145
2021-11-29,2.5055024453284607
2021-11-30,1.9291268339963454
2021-12-01,1.7593451254972592
