date,Viaggi,isPartial
2017-12-17,56,False
2017-12-24,63,False
2017-12-31,63,False
2018-01-07,68,False
2018-01-14,71,False
2018-01-21,70,False
2018-01-28,71,False
2018-02-04,68,False
2018-02-11,67,False
2018-02-18,72,False
2018-02-25,63,False
2018-03-04,65,False
2018-03-11,72,False
2018-03-18,66,False
2018-03-25,66,False
2018-04-01,70,False
2018-04-08,73,False
2018-04-15,63,False
2018-04-22,73,False
2018-04-29,66,False
2018-05-06,71,False
2018-05-13,61,False
2018-05-20,69,False
2018-05-27,67,False
2018-06-03,72,False
2018-06-10,76,False
2018-06-17,76,False
2018-06-24,80,False
2018-07-01,84,False
2018-07-08,89,False
2018-07-15,89,False
2018-07-22,94,False
2018-07-29,92,False
2018-08-05,88,False
2018-08-12,74,False
2018-08-19,69,False
2018-08-26,66,False
2018-09-02,68,False
2018-09-09,63,False
2018-09-16,60,False
2018-09-23,52,False
2018-09-30,58,False
2018-10-07,58,False
2018-10-14,59,False
2018-10-21,58,False
2018-10-28,60,False
2018-11-04,56,False
2018-11-11,58,False
2018-11-18,61,False
2018-11-25,58,False
2018-12-02,59,False
2018-12-09,56,False
2018-12-16,48,False
2018-12-23,55,False
2018-12-30,68,False
2019-01-06,73,False
2019-01-13,69,False
2019-01-20,66,False
2019-01-27,70,False
2019-02-03,68,False
2019-02-10,67,False
2019-02-17,68,False
2019-02-24,79,False
2019-03-03,73,False
2019-03-10,70,False
2019-03-17,70,False
2019-03-24,84,False
2019-03-31,69,False
2019-04-07,66,False
2019-04-14,66,False
2019-04-21,66,False
2019-04-28,72,False
2019-05-05,69,False
2019-05-12,61,False
2019-05-19,55,False
2019-05-26,59,False
2019-06-02,74,False
2019-06-09,77,False
2019-06-16,90,False
2019-06-23,78,False
2019-06-30,87,False
2019-07-07,88,False
2019-07-14,83,False
2019-07-21,90,False
2019-07-28,90,False
2019-08-04,100,False
2019-08-11,82,False
2019-08-18,0,False
2019-08-25,0,False
2019-09-01,0,False
2019-09-08,0,False
